<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.22	16:00:00	1.25788	1.26175	1.25742	1.25805	15741	0	0
2022.03.22	20:00:00	1.25805	1.25859	1.25670	1.25709	6814	0	0
2022.03.23	00:00:00	1.25700	1.25858	1.25637	1.25771	6074	0	0
2022.03.23	04:00:00	1.25772	1.25908	1.25650	1.25762	6624	0	0
2022.03.23	08:00:00	1.25761	1.25905	1.25700	1.25857	10749	0	0
2022.03.23	12:00:00	1.25858	1.26058	1.25815	1.25844	13431	0	0
2022.03.23	16:00:00	1.25842	1.25844	1.25419	1.25635	16322	0	0
2022.03.23	20:00:00	1.25635	1.25704	1.25548	1.25625	6604	0	0
2022.03.24	00:00:00	1.25611	1.25755	1.25554	1.25710	7290	0	0
2022.03.24	04:00:00	1.25709	1.25840	1.25627	1.25764	5762	0	0
2022.03.24	08:00:00	1.25766	1.25865	1.25587	1.25778	11172	0	0
2022.03.24	12:00:00	1.25777	1.25788	1.25516	1.25573	16569	0	0
2022.03.24	16:00:00	1.25575	1.25575	1.25094	1.25419	17855	0	0
2022.03.24	20:00:00	1.25419	1.25534	1.25205	1.25239	7415	0	0
2022.03.25	00:00:00	1.25223	1.25440	1.25172	1.25249	8335	0	0
2022.03.25	04:00:00	1.25249	1.25331	1.25242	1.25255	6742	0	0
2022.03.25	08:00:00	1.25255	1.25535	1.25244	1.25406	10919	0	0
2022.03.25	12:00:00	1.25405	1.25429	1.25106	1.25174	11960	0	0
2022.03.25	16:00:00	1.25174	1.25290	1.24809	1.24839	17172	0	0
2022.03.25	20:00:00	1.24839	1.24857	1.24655	1.24758	6654	0	0
2022.03.28	00:00:00	1.24763	1.24992	1.24750	1.24946	5147	0	0
2022.03.28	04:00:00	1.24947	1.24998	1.24816	1.24933	10842	0	0
2022.03.28	08:00:00	1.24933	1.25041	1.24786	1.24846	14187	0	0
2022.03.28	12:00:00	1.24846	1.25060	1.24733	1.25046	13810	0	0
2022.03.28	16:00:00	1.25046	1.25929	1.25045	1.25421	18457	0	0
2022.03.28	20:00:00	1.25422	1.25502	1.25159	1.25172	9170	0	0
2022.03.29	00:00:00	1.25161	1.25300	1.25128	1.25267	5093	0	0
2022.03.29	04:00:00	1.25267	1.25267	1.25121	1.25189	7103	0	0
2022.03.29	08:00:00	1.25188	1.25195	1.24932	1.25110	13315	0	0
2022.03.29	12:00:00	1.25111	1.25300	1.24697	1.25106	21362	0	0
2022.03.29	16:00:00	1.25106	1.25289	1.24969	1.25151	19626	0	0
2022.03.29	20:00:00	1.25152	1.25217	1.24813	1.24973	9909	0	0
2022.03.30	00:00:00	1.24960	1.25085	1.24751	1.25024	4586	0	0
