<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.03.31	23:30:00	1.23278	1.23319	1.23251	1.23308	570	0	8
2023.04.03	00:00:00	1.23247	1.23297	1.23242	1.23247	72	0	19
2023.04.03	00:30:00	1.23247	1.23324	1.23219	1.23292	298	0	17
2023.04.03	01:00:00	1.23271	1.23295	1.23155	1.23220	1261	0	8
2023.04.03	01:30:00	1.23215	1.23215	1.23057	1.23094	1699	0	8
2023.04.03	02:00:00	1.23094	1.23103	1.22970	1.22975	3396	0	7
2023.04.03	02:30:00	1.22975	1.23017	1.22836	1.22858	2505	0	7
2023.04.03	03:00:00	1.22858	1.22981	1.22817	1.22966	3549	0	6
2023.04.03	03:30:00	1.22963	1.23078	1.22937	1.23065	3162	0	6
2023.04.03	04:00:00	1.23064	1.23075	1.22992	1.23033	3238	0	7
2023.04.03	04:30:00	1.23032	1.23052	1.22907	1.22964	4529	0	7
2023.04.03	05:00:00	1.22965	1.22985	1.22922	1.22970	3380	0	7
2023.04.03	05:30:00	1.22968	1.22970	1.22840	1.22845	2687	0	7
2023.04.03	06:00:00	1.22848	1.22889	1.22776	1.22814	2609	0	7
2023.04.03	06:30:00	1.22813	1.22844	1.22762	1.22766	2680	0	7
2023.04.03	07:00:00	1.22765	1.22826	1.22757	1.22769	2093	0	4
2023.04.03	07:30:00	1.22768	1.22843	1.22765	1.22810	2168	0	4
2023.04.03	08:00:00	1.22810	1.22864	1.22777	1.22844	2252	0	2
2023.04.03	08:30:00	1.22845	1.22851	1.22759	1.22825	2226	0	4
2023.04.03	09:00:00	1.22825	1.22896	1.22745	1.22886	3376	0	3
2023.04.03	09:30:00	1.22879	1.23016	1.22854	1.22955	3074	0	4
2023.04.03	10:00:00	1.22956	1.23130	1.22956	1.23111	4003	0	3
2023.04.03	10:30:00	1.23112	1.23261	1.23096	1.23229	3070	0	4
2023.04.03	11:00:00	1.23229	1.23258	1.23138	1.23142	2865	0	4
2023.04.03	11:30:00	1.23142	1.23348	1.23092	1.23326	2608	0	4
2023.04.03	12:00:00	1.23326	1.23416	1.23317	1.23391	3021	0	4
2023.04.03	12:30:00	1.23391	1.23501	1.23372	1.23494	1995	0	4
2023.04.03	13:00:00	1.23494	1.23610	1.23488	1.23517	3761	0	4
2023.04.03	13:30:00	1.23516	1.23669	1.23503	1.23639	2808	0	4
2023.04.03	14:00:00	1.23639	1.23716	1.23613	1.23681	2421	0	4
2023.04.03	14:30:00	1.23681	1.23833	1.23681	1.23832	2580	0	3
2023.04.03	15:00:00	1.23831	1.23932	1.23781	1.23859	2388	0	4
2023.04.03	15:30:00	1.23861	1.23896	1.23789	1.23858	2080	0	4
2023.04.03	16:00:00	1.23858	1.23889	1.23779	1.23876	2707	0	4
2023.04.03	16:30:00	1.23876	1.24049	1.23791	1.23891	3720	0	1
2023.04.03	17:00:00	1.23888	1.24207	1.23888	1.24105	6491	0	1
2023.04.03	17:30:00	1.24110	1.24118	1.23947	1.23956	4347	0	3
2023.04.03	18:00:00	1.23956	1.23995	1.23800	1.23844	3929	0	3
2023.04.03	18:30:00	1.23844	1.24049	1.23834	1.24018	2440	0	4
2023.04.03	19:00:00	1.24018	1.24021	1.23900	1.23910	1939	0	4
2023.04.03	19:30:00	1.23911	1.23967	1.23850	1.23964	1861	0	4
2023.04.03	20:00:00	1.23964	1.23964	1.23870	1.23910	2195	0	4
2023.04.03	20:30:00	1.23908	1.23972	1.23901	1.23972	1516	0	4
2023.04.03	21:00:00	1.23971	1.24096	1.23947	1.24041	1887	0	3
2023.04.03	21:30:00	1.24041	1.24099	1.24001	1.24092	1823	0	0
2023.04.03	22:00:00	1.24095	1.24137	1.24079	1.24130	1013	0	1
2023.04.03	22:30:00	1.24130	1.24233	1.24117	1.24221	1299	0	0
2023.04.03	23:00:00	1.24221	1.24231	1.24173	1.24188	821	0	5
2023.04.03	23:30:00	1.24188	1.24203	1.24155	1.24172	637	0	8
2023.04.04	00:00:00	1.24165	1.24165	1.24003	1.24053	65	0	34
2023.04.04	00:30:00	1.24053	1.24187	1.24053	1.24166	378	0	8
2023.04.04	01:00:00	1.24169	1.24201	1.24161	1.24198	1415	0	8
2023.04.04	01:30:00	1.24198	1.24208	1.24150	1.24155	945	0	8
